Sales,date,region
1710,17-03-2018,east
1662,17-03-2018,west
1650,18-03-2018,north
1755,18-03-2018,south
1698,18-03-2018,east
1659,18-03-2018,west
1683,19-03-2018,north
1509,19-03-2018,south
1500,19-03-2018,east
1545,19-03-2018,west
1647,20-03-2018,north
1614,20-03-2018,south
1629,20-03-2018,east
1677,20-03-2018,west
1743,21-03-2018,north
1569,21-03-2018,south
1593,21-03-2018,east
1578,21-03-2018,west
1578,22-03-2018,north
1581,22-03-2018,south
1653,22-03-2018,east
1578,22-03-2018,west
1761,23-03-2018,north
1611,23-03-2018,south
1749,23-03-2018,east
1764,23-03-2018,west
1716,24-03-2018,north
1710,24-03-2018,south
1800,24-03-2018,east
1728,24-03-2018,west
1743,25-03-2018,north
1764,25-03-2018,south
1740,25-03-2018,east
1707,25-03-2018,west
1509,26-03-2018,north
1641,26-03-2018,south
1533,26-03-2018,east
1752,26-03-2018,west
1767,27-03-2018,north
1590,27-03-2018,south
1533,27-03-2018,east
1704,27-03-2018,west
1671,28-03-2018,north
1527,28-03-2018,south
1524,28-03-2018,east
1629,28-03-2018,west
1722,29-03-2018,north
1557,29-03-2018,south
1686,29-03-2018,east
1779,29-03-2018,west
1734,30-03-2018,north
1776,30-03-2018,south
1554,30-03-2018,east
1725,30-03-2018,west
1617,31-03-2018,north
1635,31-03-2018,south
1605,31-03-2018,east
1785,31-03-2018,west
1761,01-04-2018,north
1530,01-04-2018,south
1710,01-04-2018,east
1506,01-04-2018,west
1509,02-04-2018,north
1797,02-04-2018,south
1662,02-04-2018,east
1530,02-04-2018,west
1767,03-04-2018,north
1767,03-04-2018,south
1614,03-04-2018,east
1533,03-04-2018,west
1767,04-04-2018,north
1761,04-04-2018,south
1566,04-04-2018,east
1623,04-04-2018,west
1506,05-04-2018,north
1512,05-04-2018,south
1692,05-04-2018,east
1749,05-04-2018,west
1701,06-04-2018,north
1752,06-04-2018,south
1632,06-04-2018,east
1515,06-04-2018,west
1725,07-04-2018,north
1611,07-04-2018,south
1788,07-04-2018,east
1617,07-04-2018,west
1656,08-04-2018,north
1674,08-04-2018,south
1557,08-04-2018,east
1701,08-04-2018,west
1686,09-04-2018,north
1782,09-04-2018,south
1641,09-04-2018,east
1557,09-04-2018,west
1686,10-04-2018,north
1527,10-04-2018,south
1698,10-04-2018,east
1728,10-04-2018,west
1671,11-04-2018,north
1527,11-04-2018,south
1581,11-04-2018,east
1764,11-04-2018,west
1653,12-04-2018,north
1626,12-04-2018,south
1782,12-04-2018,east
1749,12-04-2018,west
1539,13-04-2018,north
1752,13-04-2018,south
1674,13-04-2018,east
1749,13-04-2018,west
1569,14-04-2018,north
1794,14-04-2018,south
1674,14-04-2018,east
1638,14-04-2018,west
1515,15-04-2018,north
1527,15-04-2018,south
1602,15-04-2018,east
1653,15-04-2018,west
1602,16-04-2018,north
1707,16-04-2018,south
1548,16-04-2018,east
1527,16-04-2018,west
1599,17-04-2018,north
1728,17-04-2018,south
1704,17-04-2018,east
1539,17-04-2018,west
1545,18-04-2018,north
1797,18-04-2018,south
1515,18-04-2018,east
1719,18-04-2018,west
1713,19-04-2018,north
1674,19-04-2018,south
1767,19-04-2018,east
1767,19-04-2018,west
1668,20-04-2018,north
1620,20-04-2018,south
1677,20-04-2018,east
1509,20-04-2018,west
1683,21-04-2018,north
1743,21-04-2018,south
1644,21-04-2018,east
1578,21-04-2018,west
1572,22-04-2018,north
1545,22-04-2018,south
1557,22-04-2018,east
1626,22-04-2018,west
1710,23-04-2018,north
1659,23-04-2018,south
1665,23-04-2018,east
1521,23-04-2018,west
1503,24-04-2018,north
1650,24-04-2018,south
1689,24-04-2018,east
1743,24-04-2018,west
1623,25-04-2018,north
1503,25-04-2018,south
1758,25-04-2018,east
1557,25-04-2018,west
1713,26-04-2018,north
1734,26-04-2018,south
1740,26-04-2018,east
1563,26-04-2018,west
1716,27-04-2018,north
1791,27-04-2018,south
1674,27-04-2018,east
1716,27-04-2018,west
1632,28-04-2018,north
1641,28-04-2018,south
1584,28-04-2018,east
1590,28-04-2018,west
1713,29-04-2018,north
1593,29-04-2018,south
1740,29-04-2018,east
1638,29-04-2018,west
1653,30-04-2018,north
1590,30-04-2018,south
1593,30-04-2018,east
1602,30-04-2018,west
1785,01-05-2018,north
1764,01-05-2018,south
1506,01-05-2018,east
1536,01-05-2018,west
1623,02-05-2018,north
1674,02-05-2018,south
1791,02-05-2018,east
1653,02-05-2018,west
1785,03-05-2018,north
1569,03-05-2018,south
1500,03-05-2018,east
1770,03-05-2018,west
1653,04-05-2018,north
1590,04-05-2018,south
1671,04-05-2018,east
1629,04-05-2018,west
1578,05-05-2018,north
1665,05-05-2018,south
1575,05-05-2018,east
1587,05-05-2018,west
1674,06-05-2018,north
1785,06-05-2018,south
1719,06-05-2018,east
1617,06-05-2018,west
1794,07-05-2018,north
1563,07-05-2018,south
1728,07-05-2018,east
1740,07-05-2018,west
1617,08-05-2018,north
1650,08-05-2018,south
1728,08-05-2018,east
1635,08-05-2018,west
1584,09-05-2018,north
1647,09-05-2018,south
1551,09-05-2018,east
1512,09-05-2018,west
1737,10-05-2018,north
1551,10-05-2018,south
1515,10-05-2018,east
1716,10-05-2018,west
1746,11-05-2018,north
1677,11-05-2018,south
1584,11-05-2018,east
1617,11-05-2018,west
1743,12-05-2018,north
1533,12-05-2018,south
1521,12-05-2018,east
1578,12-05-2018,west
1545,13-05-2018,north
1713,13-05-2018,south
1665,13-05-2018,east
1644,13-05-2018,west
1776,14-05-2018,north
1560,14-05-2018,south
1644,14-05-2018,east
1503,14-05-2018,west
1800,15-05-2018,north
1758,15-05-2018,south
1701,15-05-2018,east
1671,15-05-2018,west
1593,16-05-2018,north
1617,16-05-2018,south
1626,16-05-2018,east
1629,16-05-2018,west
1728,17-05-2018,north
1506,17-05-2018,south
1590,17-05-2018,east
1626,17-05-2018,west
1782,18-05-2018,north
1572,18-05-2018,south
1539,18-05-2018,east
1509,18-05-2018,west
1788,19-05-2018,north
1713,19-05-2018,south
1626,19-05-2018,east
1629,19-05-2018,west
1548,20-05-2018,north
1716,20-05-2018,south
1752,20-05-2018,east
1638,20-05-2018,west
1575,21-05-2018,north
1671,21-05-2018,south
1626,21-05-2018,east
1572,21-05-2018,west
1572,22-05-2018,north
1569,22-05-2018,south
1581,22-05-2018,east
1521,22-05-2018,west
1641,23-05-2018,north
1692,23-05-2018,south
1713,23-05-2018,east
1563,23-05-2018,west
1524,24-05-2018,north
1533,24-05-2018,south
1695,24-05-2018,east
1533,24-05-2018,west
1599,25-05-2018,north
1665,25-05-2018,south
1713,25-05-2018,east
1644,25-05-2018,west
1776,26-05-2018,north
1530,26-05-2018,south
1650,26-05-2018,east
1512,26-05-2018,west
1629,27-05-2018,north
1707,27-05-2018,south
1521,27-05-2018,east
1761,27-05-2018,west
1755,28-05-2018,north
1659,28-05-2018,south
1800,28-05-2018,east
1539,28-05-2018,west
1713,29-05-2018,north
1752,29-05-2018,south
1629,29-05-2018,east
1635,29-05-2018,west
1674,30-05-2018,north
1701,30-05-2018,south
1614,30-05-2018,east
1794,30-05-2018,west
1725,31-05-2018,north
1659,31-05-2018,south
1536,31-05-2018,east
1620,31-05-2018,west
1794,01-06-2018,north
1623,01-06-2018,south
1665,01-06-2018,east
1671,01-06-2018,west
1752,02-06-2018,north
1707,02-06-2018,south
1797,02-06-2018,east
1668,02-06-2018,west
1596,03-06-2018,north
1503,03-06-2018,south
1578,03-06-2018,east
1680,03-06-2018,west
1608,04-06-2018,north
1683,04-06-2018,south
1572,04-06-2018,east
1656,04-06-2018,west
1713,05-06-2018,north
1698,05-06-2018,south
1557,05-06-2018,east
1782,05-06-2018,west
1695,06-06-2018,north
1680,06-06-2018,south
1761,06-06-2018,east
1659,06-06-2018,west
1518,07-06-2018,north
1572,07-06-2018,south
1785,07-06-2018,east
1557,07-06-2018,west
1719,08-06-2018,north
1677,08-06-2018,south
1695,08-06-2018,east
1602,08-06-2018,west
1782,09-06-2018,north
1773,09-06-2018,south
1656,09-06-2018,east
1665,09-06-2018,west
1578,10-06-2018,north
1641,10-06-2018,south
1737,10-06-2018,east
1557,10-06-2018,west
1788,11-06-2018,north
1677,11-06-2018,south
1698,11-06-2018,east
1728,11-06-2018,west
1776,12-06-2018,north
1551,12-06-2018,south
1548,12-06-2018,east
1542,12-06-2018,west
1683,13-06-2018,north
1683,13-06-2018,south
1572,13-06-2018,east
1683,13-06-2018,west
1761,14-06-2018,north
1668,14-06-2018,south
1599,14-06-2018,east
1593,14-06-2018,west
1623,15-06-2018,north
1737,15-06-2018,south
1593,15-06-2018,east
1788,15-06-2018,west
1659,16-06-2018,north
1641,16-06-2018,south
1575,16-06-2018,east
1611,16-06-2018,west
1599,17-06-2018,north
1530,17-06-2018,south
1608,17-06-2018,east
1626,17-06-2018,west
1530,18-06-2018,north
1707,18-06-2018,south
1611,18-06-2018,east
1635,18-06-2018,west
1593,19-06-2018,north
1749,19-06-2018,south
1623,19-06-2018,east
1608,19-06-2018,west
1665,20-06-2018,north
1659,20-06-2018,south
1734,20-06-2018,east
1557,20-06-2018,west
1797,21-06-2018,north
1587,21-06-2018,south
1557,21-06-2018,east
1542,21-06-2018,west
1743,22-06-2018,north
1797,22-06-2018,south
1686,22-06-2018,east
1683,22-06-2018,west
1791,23-06-2018,north
1554,23-06-2018,south
1695,23-06-2018,east
1566,23-06-2018,west
1563,24-06-2018,north
1623,24-06-2018,south
1530,24-06-2018,east
1662,24-06-2018,west
1650,25-06-2018,north
1602,25-06-2018,south
1548,25-06-2018,east
1623,25-06-2018,west
1728,26-06-2018,north
1533,26-06-2018,south
1503,26-06-2018,east
1629,26-06-2018,west
1581,27-06-2018,north
1659,27-06-2018,south
1707,27-06-2018,east
1665,27-06-2018,west
1563,28-06-2018,north
1638,28-06-2018,south
1692,28-06-2018,east
1503,28-06-2018,west
1686,29-06-2018,north
1764,29-06-2018,south
1629,29-06-2018,east
1779,29-06-2018,west
1554,30-06-2018,north
1653,30-06-2018,south
1515,30-06-2018,east
1557,30-06-2018,west
1746,01-07-2018,north
1671,01-07-2018,south
1716,01-07-2018,east
1554,01-07-2018,west
1695,02-07-2018,north
1611,02-07-2018,south
1680,02-07-2018,east
1671,02-07-2018,west
1644,03-07-2018,north
1638,03-07-2018,south
1623,03-07-2018,east
1515,03-07-2018,west
1743,04-07-2018,north
1587,04-07-2018,south
1764,04-07-2018,east
1572,04-07-2018,west
1752,05-07-2018,north
1647,05-07-2018,south
1575,05-07-2018,east
1500,05-07-2018,west
1743,06-07-2018,north
1566,06-07-2018,south
1758,06-07-2018,east
1689,06-07-2018,west
1776,07-07-2018,north
1770,07-07-2018,south
1695,07-07-2018,east
1566,07-07-2018,west
1623,08-07-2018,north
1776,08-07-2018,south
1515,08-07-2018,east
1761,08-07-2018,west
1623,09-07-2018,north
1788,09-07-2018,south
1542,09-07-2018,east
1515,09-07-2018,west
1794,10-07-2018,north
1794,10-07-2018,south
1755,10-07-2018,east
1761,10-07-2018,west
1605,11-07-2018,north
1569,11-07-2018,south
1638,11-07-2018,east
1677,11-07-2018,west
1593,12-07-2018,north
1500,12-07-2018,south
1539,12-07-2018,east
1719,12-07-2018,west
1749,13-07-2018,north
1596,13-07-2018,south
1680,13-07-2018,east
1509,13-07-2018,west
1500,14-07-2018,north
1653,14-07-2018,south
1620,14-07-2018,east
1575,14-07-2018,west
1737,15-07-2018,north
1713,15-07-2018,south
1698,15-07-2018,east
1539,15-07-2018,west
1773,16-07-2018,north
1707,16-07-2018,south
1554,16-07-2018,east
1515,16-07-2018,west
1551,17-07-2018,north
1566,17-07-2018,south
1788,17-07-2018,east
1614,17-07-2018,west
1704,18-07-2018,north
1656,18-07-2018,south
1530,18-07-2018,east
1659,18-07-2018,west
1620,19-07-2018,north
1725,19-07-2018,south
1704,19-07-2018,east
1527,19-07-2018,west
1731,20-07-2018,north
1761,20-07-2018,south
1644,20-07-2018,east
1653,20-07-2018,west
1725,21-07-2018,north
1698,21-07-2018,south
1662,21-07-2018,east
1656,21-07-2018,west
1608,22-07-2018,north
1773,22-07-2018,south
1659,22-07-2018,east
1647,22-07-2018,west
1638,23-07-2018,north
1623,23-07-2018,south
1719,23-07-2018,east
1629,23-07-2018,west
1701,24-07-2018,north
1725,24-07-2018,south
1752,24-07-2018,east
1557,24-07-2018,west
1500,25-07-2018,north
1707,25-07-2018,south
1533,25-07-2018,east
1737,25-07-2018,west
1605,26-07-2018,north
1767,26-07-2018,south
1551,26-07-2018,east
1521,26-07-2018,west
1659,27-07-2018,north
1611,27-07-2018,south
1695,27-07-2018,east
1632,27-07-2018,west
1515,28-07-2018,north
1584,28-07-2018,south
1596,28-07-2018,east
1743,28-07-2018,west
1791,29-07-2018,north
1599,29-07-2018,south
1749,29-07-2018,east
1755,29-07-2018,west
1755,30-07-2018,north
1662,30-07-2018,south
1509,30-07-2018,east
1776,30-07-2018,west
1695,31-07-2018,north
1707,31-07-2018,south
1548,31-07-2018,east
1578,31-07-2018,west
1563,01-08-2018,north
1674,01-08-2018,south
1554,01-08-2018,east
1665,01-08-2018,west
1527,02-08-2018,north
1617,02-08-2018,south
1548,02-08-2018,east
1671,02-08-2018,west
1668,03-08-2018,north
1671,03-08-2018,south
1719,03-08-2018,east
1668,03-08-2018,west
1536,04-08-2018,north
1734,04-08-2018,south
1743,04-08-2018,east
1776,04-08-2018,west
1650,05-08-2018,north
1599,05-08-2018,south
1614,05-08-2018,east
1773,05-08-2018,west
1611,06-08-2018,north
1605,06-08-2018,south
1554,06-08-2018,east
1788,06-08-2018,west
1566,07-08-2018,north
1560,07-08-2018,south
1551,07-08-2018,east
1626,07-08-2018,west
1665,08-08-2018,north
1539,08-08-2018,south
1506,08-08-2018,east
1617,08-08-2018,west
1797,09-08-2018,north
1794,09-08-2018,south
1620,09-08-2018,east
1683,09-08-2018,west
1620,10-08-2018,north
1554,10-08-2018,south
1701,10-08-2018,east
1785,10-08-2018,west
1689,11-08-2018,north
1650,11-08-2018,south
1533,11-08-2018,east
1587,11-08-2018,west
1509,12-08-2018,north
1743,12-08-2018,south
1719,12-08-2018,east
1743,12-08-2018,west
1701,13-08-2018,north
1629,13-08-2018,south
1638,13-08-2018,east
1611,13-08-2018,west
1623,14-08-2018,north
1635,14-08-2018,south
1716,14-08-2018,east
1707,14-08-2018,west
1602,15-08-2018,north
1542,15-08-2018,south
1800,15-08-2018,east
1734,15-08-2018,west
1788,16-08-2018,north
1614,16-08-2018,south
1743,16-08-2018,east
1770,16-08-2018,west
1776,17-08-2018,north
1713,17-08-2018,south
1623,17-08-2018,east
1752,17-08-2018,west
1527,18-08-2018,north
1776,18-08-2018,south
1689,18-08-2018,east
1713,18-08-2018,west
1509,19-08-2018,north
1575,19-08-2018,south
1701,19-08-2018,east
1575,19-08-2018,west
1581,20-08-2018,north
1779,20-08-2018,south
1662,20-08-2018,east
1506,20-08-2018,west
1794,21-08-2018,north
1659,21-08-2018,south
1644,21-08-2018,east
1707,21-08-2018,west
1704,22-08-2018,north
1500,22-08-2018,south
1539,22-08-2018,east
1800,22-08-2018,west
1557,23-08-2018,north
1554,23-08-2018,south
1788,23-08-2018,east
1563,23-08-2018,west
1548,24-08-2018,north
1560,24-08-2018,south
1734,24-08-2018,east
1644,24-08-2018,west
1629,25-08-2018,north
1677,25-08-2018,south
1764,25-08-2018,east
1515,25-08-2018,west
1542,26-08-2018,north
1545,26-08-2018,south
1668,26-08-2018,east
1584,26-08-2018,west
1605,27-08-2018,north
1740,27-08-2018,south
1602,27-08-2018,east
1509,27-08-2018,west
1566,28-08-2018,north
1680,28-08-2018,south
1656,28-08-2018,east
1722,28-08-2018,west
1662,29-08-2018,north
1794,29-08-2018,south
1734,29-08-2018,east
1647,29-08-2018,west
1635,30-08-2018,north
1743,30-08-2018,south
1665,30-08-2018,east
1770,30-08-2018,west
1749,31-08-2018,north
1695,31-08-2018,south
1644,31-08-2018,east
1602,31-08-2018,west
1560,01-09-2018,north
1500,01-09-2018,south
1719,01-09-2018,east
1557,01-09-2018,west
1527,02-09-2018,north
1653,02-09-2018,south
1506,02-09-2018,east
1575,02-09-2018,west
1749,03-09-2018,north
1770,03-09-2018,south
1674,03-09-2018,east
1650,03-09-2018,west
1794,04-09-2018,north
1509,04-09-2018,south
1785,04-09-2018,east
1539,04-09-2018,west
1731,05-09-2018,north
1617,05-09-2018,south
1656,05-09-2018,east
1599,05-09-2018,west
1713,06-09-2018,north
1506,06-09-2018,south
1758,06-09-2018,east
1650,06-09-2018,west
1791,07-09-2018,north
1623,07-09-2018,south
1776,07-09-2018,east
1653,07-09-2018,west
1659,08-09-2018,north
1755,08-09-2018,south
1533,08-09-2018,east
1557,08-09-2018,west
1527,09-09-2018,north
1614,09-09-2018,south
1638,09-09-2018,east
1704,09-09-2018,west
1650,10-09-2018,north
1656,10-09-2018,south
1782,10-09-2018,east
1527,10-09-2018,west
1578,11-09-2018,north
1767,11-09-2018,south
1749,11-09-2018,east
1524,11-09-2018,west
1719,12-09-2018,north
1695,12-09-2018,south
1740,12-09-2018,east
1533,12-09-2018,west
1653,13-09-2018,north
1560,13-09-2018,south
1677,13-09-2018,east
1539,13-09-2018,west
1713,14-09-2018,north
1554,14-09-2018,south
1743,14-09-2018,east
1701,14-09-2018,west
1587,15-09-2018,north
1512,15-09-2018,south
1698,15-09-2018,east
1746,15-09-2018,west
1554,16-09-2018,north
1554,16-09-2018,south
1782,16-09-2018,east
1782,16-09-2018,west
1764,17-09-2018,north
1620,17-09-2018,south
1545,17-09-2018,east
1722,17-09-2018,west
1503,18-09-2018,north
1530,18-09-2018,south
1737,18-09-2018,east
1692,18-09-2018,west
1542,19-09-2018,north
1758,19-09-2018,south
1779,19-09-2018,east
1593,19-09-2018,west
1686,20-09-2018,north
1749,20-09-2018,south
1662,20-09-2018,east
1569,20-09-2018,west
1590,21-09-2018,north
1665,21-09-2018,south
1716,21-09-2018,east
1704,21-09-2018,west
1632,22-09-2018,north
1581,22-09-2018,south
1758,22-09-2018,east
1641,22-09-2018,west
1731,23-09-2018,north
1677,23-09-2018,south
1728,23-09-2018,east
1755,23-09-2018,west
1611,24-09-2018,north
1593,24-09-2018,south
1797,24-09-2018,east
1560,24-09-2018,west
1530,25-09-2018,north
1770,25-09-2018,south
1611,25-09-2018,east
1701,25-09-2018,west
1617,26-09-2018,north
1515,26-09-2018,south
1713,26-09-2018,east
1500,26-09-2018,west
1632,27-09-2018,north
1713,27-09-2018,south
1743,27-09-2018,east
1587,27-09-2018,west
1749,28-09-2018,north
1533,28-09-2018,south
1653,28-09-2018,east
1512,28-09-2018,west
1518,29-09-2018,north
1623,29-09-2018,south
1701,29-09-2018,east
1596,29-09-2018,west
1746,30-09-2018,north
1536,30-09-2018,south
1659,30-09-2018,east
1524,30-09-2018,west
1782,01-10-2018,north
1632,01-10-2018,south
1755,01-10-2018,east
1650,01-10-2018,west
1680,02-10-2018,north
1701,02-10-2018,south
1800,02-10-2018,east
1740,02-10-2018,west
1563,03-10-2018,north
1788,03-10-2018,south
1536,03-10-2018,east
1764,03-10-2018,west
1512,04-10-2018,north
1560,04-10-2018,south
1626,04-10-2018,east
1797,04-10-2018,west
1779,05-10-2018,north
1683,05-10-2018,south
1713,05-10-2018,east
1794,05-10-2018,west
1584,06-10-2018,north
1647,06-10-2018,south
1596,06-10-2018,east
1515,06-10-2018,west
1533,07-10-2018,north
1608,07-10-2018,south
1794,07-10-2018,east
1578,07-10-2018,west
1701,08-10-2018,north
1617,08-10-2018,south
1779,08-10-2018,east
1785,08-10-2018,west
1680,09-10-2018,north
1590,09-10-2018,south
1551,09-10-2018,east
1587,09-10-2018,west
1749,10-10-2018,north
1701,10-10-2018,south
1599,10-10-2018,east
1506,10-10-2018,west
1596,11-10-2018,north
1800,11-10-2018,south
1749,11-10-2018,east
1674,11-10-2018,west
1782,12-10-2018,north
1647,12-10-2018,south
1542,12-10-2018,east
1656,12-10-2018,west
1581,13-10-2018,north
1713,13-10-2018,south
1722,13-10-2018,east
1686,13-10-2018,west
1728,14-10-2018,north
1755,14-10-2018,south
1503,14-10-2018,east
1602,14-10-2018,west
1605,15-10-2018,north
1719,15-10-2018,south
1548,15-10-2018,east
1626,15-10-2018,west
1551,16-10-2018,north
1662,16-10-2018,south
1650,16-10-2018,east
1788,16-10-2018,west
1536,17-10-2018,north
1551,17-10-2018,south
1656,17-10-2018,east
1644,17-10-2018,west
1692,18-10-2018,north
1518,18-10-2018,south
1509,18-10-2018,east
1674,18-10-2018,west
1521,19-10-2018,north
1632,19-10-2018,south
1794,19-10-2018,east
1689,19-10-2018,west
1692,20-10-2018,north
1662,20-10-2018,south
1776,20-10-2018,east
1710,20-10-2018,west
1569,21-10-2018,north
1704,21-10-2018,south
1767,21-10-2018,east
1767,21-10-2018,west
1542,22-10-2018,north
1707,22-10-2018,south
1578,22-10-2018,east
1521,22-10-2018,west
1764,23-10-2018,north
1683,23-10-2018,south
1602,23-10-2018,east
1755,23-10-2018,west
1650,24-10-2018,north
1629,24-10-2018,south
1692,24-10-2018,east
1542,24-10-2018,west
1629,25-10-2018,north
1587,25-10-2018,south
1635,25-10-2018,east
1653,25-10-2018,west
1596,26-10-2018,north
1524,26-10-2018,south
1545,26-10-2018,east
1707,26-10-2018,west
1509,27-10-2018,north
1509,27-10-2018,south
1686,27-10-2018,east
1785,27-10-2018,west
1635,28-10-2018,north
1752,28-10-2018,south
1785,28-10-2018,east
1755,28-10-2018,west
1707,29-10-2018,north
1701,29-10-2018,south
1599,29-10-2018,east
1782,29-10-2018,west
1677,30-10-2018,north
1719,30-10-2018,south
1530,30-10-2018,east
1776,30-10-2018,west
1674,31-10-2018,north
1641,31-10-2018,south
1596,31-10-2018,east
1506,31-10-2018,west
1692,01-11-2018,north
1623,01-11-2018,south
1593,01-11-2018,east
1551,01-11-2018,west
1728,02-11-2018,north
1608,02-11-2018,south
1530,02-11-2018,east
1791,02-11-2018,west
1704,03-11-2018,north
1653,03-11-2018,south
1548,03-11-2018,east
1626,03-11-2018,west
1695,04-11-2018,north
1590,04-11-2018,south
1530,04-11-2018,east
1644,04-11-2018,west
1611,05-11-2018,north
1617,05-11-2018,south
1776,05-11-2018,east
1641,05-11-2018,west
1740,06-11-2018,north
1590,06-11-2018,south
1773,06-11-2018,east
1641,06-11-2018,west
1527,07-11-2018,north
1755,07-11-2018,south
1650,07-11-2018,east
1593,07-11-2018,west
1548,08-11-2018,north
1623,08-11-2018,south
1500,08-11-2018,east
1569,08-11-2018,west
1647,09-11-2018,north
1662,09-11-2018,south
1710,09-11-2018,east
1719,09-11-2018,west
1590,10-11-2018,north
1539,10-11-2018,south
1566,10-11-2018,east
1770,10-11-2018,west
1722,11-11-2018,north
1524,11-11-2018,south
1641,11-11-2018,east
1662,11-11-2018,west
1716,12-11-2018,north
1611,12-11-2018,south
1569,12-11-2018,east
1797,12-11-2018,west
1698,13-11-2018,north
1581,13-11-2018,south
1776,13-11-2018,east
1644,13-11-2018,west
1563,14-11-2018,north
1707,14-11-2018,south
1533,14-11-2018,east
1572,14-11-2018,west
1623,15-11-2018,north
1698,15-11-2018,south
1521,15-11-2018,east
1707,15-11-2018,west
1587,16-11-2018,north
1776,16-11-2018,south
1662,16-11-2018,east
1578,16-11-2018,west
1554,17-11-2018,north
1515,17-11-2018,south
1602,17-11-2018,east
1557,17-11-2018,west
1521,18-11-2018,north
1740,18-11-2018,south
1617,18-11-2018,east
1647,18-11-2018,west
1551,19-11-2018,north
1500,19-11-2018,south
1725,19-11-2018,east
1563,19-11-2018,west
1791,20-11-2018,north
1578,20-11-2018,south
1632,20-11-2018,east
1674,20-11-2018,west
1617,21-11-2018,north
1509,21-11-2018,south
1644,21-11-2018,east
1542,21-11-2018,west
1650,22-11-2018,north
1758,22-11-2018,south
1710,22-11-2018,east
1737,22-11-2018,west
1779,23-11-2018,north
1743,23-11-2018,south
1560,23-11-2018,east
1719,23-11-2018,west
1689,24-11-2018,north
